Titulos,contenidos,Palabras claves
    Supervisor de produccion  ,"Ladrillera ubicada en la localidad de Usme, requiere técnico o tecnólogo en  Ingeniería Industrial o Ingeniería de Producción, con 12 meses de experiencia, para el cargo de Supervisor de Producción.  Su rol es dar soporte al área de Producción en todos sus procesos de mejora continua, procesar, analizar y controlar la información de los procesos productivos, manejo de la documentación de los sistemas, apoyo al desarrollo de proyectos del área de producción y mejora continua.",                                producción                            
    Asesor learning system  ,"¿Eres profesional en #Ingeniería #Mecanica #Automatización #Electronica #Mecatrónica #Industrial o #Administracion de empresas y deseas formar parte de nuestro equipo? Entonces continua leyendo, si estas en #Bogota o sus alrededores y cuentas con mínimo 3 años en cargos comerciales de venta directa de productos o servicios de automatización o venta de equipo y servicios para la educación, y además tienes un espíritu innovador, excelentes habilidades de comunicación y trato con clientes, alto nivel de organización, flexibilidad y apertura al cambio y eres proactivo, entonces esto es para ti!!        ",                                ingeniero                            
    Inspector seguridad y salud en el trabajo armenia  ,"Buscamos un Inspector de SST para ejecutar el Sistema de Gestión de la Seguridad y Salud en el Trabajo SG-SST de acuerdo con las directrices de la compañía, con el fin de anticipar, reconocer, evaluar y controlar los riesgos que puedan generar accidentes y enfermedades laborales. Debe ser profesional de Seguridad y salud en el trabajo o Salud ocupacional, medicina, Psicología y/o Ingeniería en todas las disciplinas. Debe contar con Licencia en SO vigente y mínimo 3 años de experiencia en Cargos profesionales o de supervisión en Seguridad Industrial en el sector de la construcción o industrias afines. Vacante para proyecto en Madrid Cundinamarca        ",                                Inspector sst                            
    Operaria maquina plana  ,"OPERARIA EXPERTA CAMISERÍA, MÁQUINA PLANA, OJALADORA, BOTONADORA, FILETE. CIUDAD JARDÍN, CERCA ESTACIÓN FUCHA.        ",                                OPERARIA MAQUINA PLANA                            
    Auxiliar punto de venta -bogota  ,"Importante multinacional de alimentos se encuentra en búsqueda de bachilleres con o sin experiencia en el cargo de AUXILIAR PUNTO DE VENTA para trabajar en el aeropuerto en la ciudad de Bogotá o zona norte (suba, usaquen, engativa)",                                auxiliar de venta                            
    Ayudante de soldadura 1626351920.2  ,"Empresa requiere para su equipo de trabajo personal con formación bachiller o técnico en áreas que tengan que ver con soldadura o estudios afines para ocupar el cargo de ayudante de soldadura, con o sin experiencia.",                                Otra                            
    Ayudante de construcción 1626350657.11  ,"Empresa requiere personal que sepa leer y escribir, no es necesario que sea bachiller, con mínimo 6 meses de experiencia como ayudante de construcción, operario agrícola, floristerías, trabajos pesados, limpieza, cargue y descargue, entre otros.",                                Otra                            
    Analista de sistemas  ,"Reconocida empresa del sector salud , requiere para su equipo de trabajo ANALISTA DE SISTEMAS, debe contar con estudios profesionales en Ingeniería de Sistemas o afines, con experiencia mínima de 1 año en el sector Salud, conocimientos en Bases de Datos y soporte de Historia Clínica Electrónica (SCSE) deseable experiencia en proyectos de implementación de  software corporativo (HIS / ERP).        ",                                analista de sistemas                            
    Analista comercial  ,"Reconocida empresa de tecnología, requiere Analista comercial profesional en carreras administrativas, ingenierías, comercial o mercadeo con conocimiento en ventas y atención al cliente        ",                                comerciales                            
    Coordinador administrativo  ,¿Eres apasionado por la educación? ,                                Coordinador administrativo                            
    Auxiliar comercio exterior - ipiales  ,"Empresa comercializadora, de operaciones de transporte y logística requiere para su equipo de trabajo Auxiliar de comercio exterior para desempeñar las funciones operativas de la elaboración de los documentos propios de agendamiento aduanero y así mismo controlar que la documentación se encuentre completa, además de asistir las labores de los procesos del área. ",                                comercio exterior                            
    Auxiliar de farmacia  ,Auxiliar de farmacia - Chia,                                auxiliar de drogueria                            
    Auxiliar de mantenimiento - mecanico  ,"Importante empresa del sector Industrial, esta en búsqueda de 1 Técnologo en carreras mecánicas, mecatrónicas, electromecánicas, mantenimiento industrial y/o afines, con experiencia mínima de 2 año en procesos de mantenimiento mecánico.",                                mantenimiento                            
